"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"West Coast","Pacific","eligible","n/s","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Whanganui","Pacific","eligible","12","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"National","Pacific","eligible","1844","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Auckland","Pacific","full","251","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Bay of Plenty","Pacific","full","15","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Canterbury","Pacific","full","65","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Capital & Coast","Pacific","full","77","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Counties Manukau","Pacific","full","590","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hawkes Bay","Pacific","full","27","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
"Hutt Valley","Pacific","full","59","5 Years","1 April 2013 to 30 June 2013 (Excel, 2.2 MB).xls","Ethnicity"
