"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Capital & Coast","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","Maori","proportion","0.64358452138492872","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Lakes","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Midcentral","Maori","proportion","1","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Nelson Marlborough","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Northland","Maori","proportion","0.68085106382978722","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Otago","Maori","proportion","1","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"South Canterbury","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Southland","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Tairawhiti","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Taranaki","Maori","proportion","1","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waikato","Maori","proportion","0.125","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Wairarapa","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Waitemata","Maori","proportion","0.65853658536585369","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"West Coast","Maori","proportion","-","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Whanganui","Maori","proportion","0.25","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"National","Maori","proportion","0.6330166270783848","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Auckland","Pacific","eligible","146","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Bay of Plenty","Pacific","eligible","0","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Canterbury","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Capital & Coast","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Counties Manukau","Pacific","eligible","541","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hawkes Bay","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
"Hutt Valley","Pacific","eligible","n/s","5 Years","1 April 2010 to 1 July 2010 (Excel, 1.3 MB).xls","Ethnicity"
