"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Hawkes Bay","Maori","full",1003,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hutt Valley","Maori","full",506,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Lakes","Maori","full",632,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Midcentral","Maori","full",686,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Nelson Marlborough","Maori","full",279,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Northland","Maori","full",1104,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"South Canterbury","Maori","full",96,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Southern","Maori","full",647,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Tairawhiti","Maori","full",496,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Taranaki","Maori","full",434,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waikato","Maori","full",1543,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Wairarapa","Maori","full",161,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Waitemata","Maori","full",1085,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"West Coast","Maori","full",66,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Whanganui","Maori","full",356,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"National","Maori","full",13963,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Auckland","Maori","proportion",0.765501691093574,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Bay of Plenty","Maori","proportion",0.749060856498873,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Canterbury","Maori","proportion",0.888329979879276,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Capital & Coast","Maori","proportion",0.889880952380952,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Counties Manukau","Maori","proportion",0.676145339652449,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hawkes Bay","Maori","proportion",0.886825817860301,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Hutt Valley","Maori","proportion",0.866438356164384,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
"Lakes","Maori","proportion",0.675213675213675,"5 years","1 April 2014 to 31 March 2015 (Excel, 201 KB).xls","Ethnicity"
