"DHB","demography","measure","number","Age","QtYR","Demogfacet"
"Auckland","Maori","full","586","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Maori","full","911","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Maori","full","901","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Maori","full","630","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Maori","full","1917","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Maori","full","908","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Maori","full","542","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Maori","full","655","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Maori","full","640","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Maori","full","293","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Maori","full","937","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Maori","full","314","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Maori","full","70","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Maori","full","321","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Maori","full","436","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Maori","full","420","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Maori","full","1528","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Maori","full","144","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Maori","full","1043","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Maori","full","72","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Maori","full","314","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Maori","full","13584","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Maori","proportion","0.792963464140731","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Maori","proportion","0.701848998459168","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Maori","proportion","0.868852459016393","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Maori","proportion","0.853658536585366","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Maori","proportion","0.726962457337884","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Maori","proportion","0.891069676153091","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Maori","proportion","0.869983948635634","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Maori","proportion","0.689473684210526","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Maori","proportion","0.789149198520345","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Maori","proportion","0.866863905325444","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Maori","proportion","0.703981968444778","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Maori","proportion","0.91812865497076","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Maori","proportion","0.864197530864197","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Maori","proportion","0.935860058309038","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Maori","proportion","0.788426763110307","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Maori","proportion","0.833333333333333","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Maori","proportion","0.735322425409047","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Maori","proportion","0.888888888888889","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Maori","proportion","0.799233716475096","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Maori","proportion","0.935064935064935","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Maori","proportion","0.835106382978723","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Maori","proportion","0.782083021475042","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Pacific","eligible","1323","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Pacific","eligible","64","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Pacific","eligible","281","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Pacific","eligible","434","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Pacific","eligible","3031","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Pacific","eligible","117","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Pacific","eligible","259","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Pacific","eligible","43","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Midcentral","Pacific","eligible","88","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Nelson Marlborough","Pacific","eligible","48","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Northland","Pacific","eligible","39","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Otago","Pacific","eligible","65","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"South Canterbury","Pacific","eligible","18","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Southland","Pacific","eligible","52","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Tairawhiti","Pacific","eligible","16","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Taranaki","Pacific","eligible","31","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waikato","Pacific","eligible","177","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Wairarapa","Pacific","eligible","15","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Waitemata","Pacific","eligible","956","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"West Coast","Pacific","eligible","n/s","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Whanganui","Pacific","eligible","22","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"National","Pacific","eligible","7096","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Auckland","Pacific","full","1120","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Bay of Plenty","Pacific","full","53","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Canterbury","Pacific","full","245","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Capital & Coast","Pacific","full","388","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Counties Manukau","Pacific","full","2556","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hawkes Bay","Pacific","full","105","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Hutt Valley","Pacific","full","232","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
"Lakes","Pacific","full","34","24 months","1 April 2009 to 1 April 2010 (Excel, 185 KB).xls","Ethnicity"
